"ecoregion","metierL4","species"
"Ionian Sea and the Central Mediterranean Sea","OTB","Amblyraja radiata"
"Norwegian Sea","OTB","Amblyraja radiata"
"Oceanic Northeast Atlantic","OTB","Amblyraja radiata"
"Western Mediterranean Sea","OTB","Amblyraja radiata"
NA,"OTB","Amblyraja radiata"
"Barents Sea","OTT","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","OTT","Amblyraja radiata"
"Celtic Seas","OTT","Amblyraja radiata"
"Faroes","OTT","Amblyraja radiata"
"Greater North Sea","OTT","Amblyraja radiata"
"Greenland Sea","OTT","Amblyraja radiata"
"Norwegian Sea","OTT","Amblyraja radiata"
"Oceanic Northeast Atlantic","OTT","Amblyraja radiata"
"Western Mediterranean Sea","OTT","Amblyraja radiata"
"Baltic Sea","PTB","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","PTB","Amblyraja radiata"
"Celtic Seas","PTB","Amblyraja radiata"
"Greater North Sea","PTB","Amblyraja radiata"
"Baltic Sea","SDN","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","SDN","Amblyraja radiata"
"Greater North Sea","SDN","Amblyraja radiata"
"Icelandic Waters","SDN","Amblyraja radiata"
"Baltic Sea","SSC","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","SSC","Amblyraja radiata"
"Celtic Seas","SSC","Amblyraja radiata"
"Greater North Sea","SSC","Amblyraja radiata"
"Adriatic Sea","TBB","Amblyraja radiata"
"Barents Sea","TBB","Amblyraja radiata"
"Bay of Biscay and the Iberian Coast","TBB","Amblyraja radiata"
"Black Sea","TBB","Amblyraja radiata"
"Celtic Seas","TBB","Amblyraja radiata"
"Greater North Sea","TBB","Amblyraja radiata"
"Norwegian Sea","TBB","Amblyraja radiata"
"Western Mediterranean Sea","TBB","Amblyraja radiata"
"Adriatic Sea","LLS","Anarhichas denticulatus"
"Aegean-Levantine Sea","LLS","Anarhichas denticulatus"
"Azores","LLS","Anarhichas denticulatus"
"Baltic Sea","LLS","Anarhichas denticulatus"
"Bay of Biscay and the Iberian Coast","LLS","Anarhichas denticulatus"
"Black Sea","LLS","Anarhichas denticulatus"
"Celtic Seas","LLS","Anarhichas denticulatus"
"Faroes","LLS","Anarhichas denticulatus"
"Greater North Sea","LLS","Anarhichas denticulatus"
"Icelandic Waters","LLS","Anarhichas denticulatus"
"Ionian Sea and the Central Mediterranean Sea","LLS","Anarhichas denticulatus"
"Oceanic Northeast Atlantic","LLS","Anarhichas denticulatus"
"Western Mediterranean Sea","LLS","Anarhichas denticulatus"
"Adriatic Sea","OTB","Anarhichas denticulatus"
"Aegean-Levantine Sea","OTB","Anarhichas denticulatus"
"Baltic Sea","OTB","Anarhichas denticulatus"
"Barents Sea","OTB","Anarhichas denticulatus"
"Bay of Biscay and the Iberian Coast","OTB","Anarhichas denticulatus"
"Celtic Seas","OTB","Anarhichas denticulatus"
"Faroes","OTB","Anarhichas denticulatus"
"Greater North Sea","OTB","Anarhichas denticulatus"
"Greenland Sea","OTB","Anarhichas denticulatus"
"Icelandic Waters","OTB","Anarhichas denticulatus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Anarhichas denticulatus"
"Norwegian Sea","OTB","Anarhichas denticulatus"
"Oceanic Northeast Atlantic","OTB","Anarhichas denticulatus"
"Western Mediterranean Sea","OTB","Anarhichas denticulatus"
NA,"OTB","Anarhichas denticulatus"
"Adriatic Sea","OTM","Anarhichas denticulatus"
"Baltic Sea","OTM","Anarhichas denticulatus"
"Bay of Biscay and the Iberian Coast","OTM","Anarhichas denticulatus"
"Black Sea","OTM","Anarhichas denticulatus"
"Celtic Seas","OTM","Anarhichas denticulatus"
"Faroes","OTM","Anarhichas denticulatus"
"Greater North Sea","OTM","Anarhichas denticulatus"
"Icelandic Waters","OTM","Anarhichas denticulatus"
"Ionian Sea and the Central Mediterranean Sea","OTM","Anarhichas denticulatus"
"Norwegian Sea","OTM","Anarhichas denticulatus"
"Oceanic Northeast Atlantic","OTM","Anarhichas denticulatus"
"Western Mediterranean Sea","OTM","Anarhichas denticulatus"
"Barents Sea","OTT","Anarhichas denticulatus"
"Bay of Biscay and the Iberian Coast","OTT","Anarhichas denticulatus"
"Celtic Seas","OTT","Anarhichas denticulatus"
"Faroes","OTT","Anarhichas denticulatus"
"Greater North Sea","OTT","Anarhichas denticulatus"
"Greenland Sea","OTT","Anarhichas denticulatus"
"Norwegian Sea","OTT","Anarhichas denticulatus"
"Oceanic Northeast Atlantic","OTT","Anarhichas denticulatus"
"Western Mediterranean Sea","OTT","Anarhichas denticulatus"
"Adriatic Sea","FPO","Anarhichas lupus"
"Aegean-Levantine Sea","FPO","Anarhichas lupus"
"Azores","FPO","Anarhichas lupus"
"Baltic Sea","FPO","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","FPO","Anarhichas lupus"
"Black Sea","FPO","Anarhichas lupus"
"Celtic Seas","FPO","Anarhichas lupus"
"Faroes","FPO","Anarhichas lupus"
"Greater North Sea","FPO","Anarhichas lupus"
"Icelandic Waters","FPO","Anarhichas lupus"
"Ionian Sea and the Central Mediterranean Sea","FPO","Anarhichas lupus"
"Oceanic Northeast Atlantic","FPO","Anarhichas lupus"
"Western Mediterranean Sea","FPO","Anarhichas lupus"
"Adriatic Sea","GNS","Anarhichas lupus"
"Aegean-Levantine Sea","GNS","Anarhichas lupus"
"Azores","GNS","Anarhichas lupus"
"Baltic Sea","GNS","Anarhichas lupus"
"Barents Sea","GNS","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","GNS","Anarhichas lupus"
"Black Sea","GNS","Anarhichas lupus"
"Celtic Seas","GNS","Anarhichas lupus"
"Greater North Sea","GNS","Anarhichas lupus"
"Icelandic Waters","GNS","Anarhichas lupus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Anarhichas lupus"
"Norwegian Sea","GNS","Anarhichas lupus"
"Oceanic Northeast Atlantic","GNS","Anarhichas lupus"
"Western Mediterranean Sea","GNS","Anarhichas lupus"
"Adriatic Sea","GTR","Anarhichas lupus"
"Aegean-Levantine Sea","GTR","Anarhichas lupus"
"Baltic Sea","GTR","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","GTR","Anarhichas lupus"
"Celtic Seas","GTR","Anarhichas lupus"
"Greater North Sea","GTR","Anarhichas lupus"
"Ionian Sea and the Central Mediterranean Sea","GTR","Anarhichas lupus"
"Oceanic Northeast Atlantic","GTR","Anarhichas lupus"
"Western Mediterranean Sea","GTR","Anarhichas lupus"
"Adriatic Sea","OTB","Anarhichas lupus"
"Aegean-Levantine Sea","OTB","Anarhichas lupus"
"Baltic Sea","OTB","Anarhichas lupus"
"Barents Sea","OTB","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","OTB","Anarhichas lupus"
"Celtic Seas","OTB","Anarhichas lupus"
"Faroes","OTB","Anarhichas lupus"
"Greater North Sea","OTB","Anarhichas lupus"
"Greenland Sea","OTB","Anarhichas lupus"
"Icelandic Waters","OTB","Anarhichas lupus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Anarhichas lupus"
"Norwegian Sea","OTB","Anarhichas lupus"
"Oceanic Northeast Atlantic","OTB","Anarhichas lupus"
"Western Mediterranean Sea","OTB","Anarhichas lupus"
NA,"OTB","Anarhichas lupus"
"Barents Sea","OTT","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","OTT","Anarhichas lupus"
"Celtic Seas","OTT","Anarhichas lupus"
"Faroes","OTT","Anarhichas lupus"
"Greater North Sea","OTT","Anarhichas lupus"
"Greenland Sea","OTT","Anarhichas lupus"
"Norwegian Sea","OTT","Anarhichas lupus"
"Oceanic Northeast Atlantic","OTT","Anarhichas lupus"
"Western Mediterranean Sea","OTT","Anarhichas lupus"
"Baltic Sea","PTB","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","PTB","Anarhichas lupus"
"Celtic Seas","PTB","Anarhichas lupus"
"Greater North Sea","PTB","Anarhichas lupus"
"Adriatic Sea","TBB","Anarhichas lupus"
"Barents Sea","TBB","Anarhichas lupus"
"Bay of Biscay and the Iberian Coast","TBB","Anarhichas lupus"
"Black Sea","TBB","Anarhichas lupus"
"Celtic Seas","TBB","Anarhichas lupus"
"Greater North Sea","TBB","Anarhichas lupus"
"Norwegian Sea","TBB","Anarhichas lupus"
"Western Mediterranean Sea","TBB","Anarhichas lupus"
"Adriatic Sea","OTB","Anarhichas minor"
"Aegean-Levantine Sea","OTB","Anarhichas minor"
"Baltic Sea","OTB","Anarhichas minor"
"Barents Sea","OTB","Anarhichas minor"
"Bay of Biscay and the Iberian Coast","OTB","Anarhichas minor"
"Celtic Seas","OTB","Anarhichas minor"
"Faroes","OTB","Anarhichas minor"
"Greater North Sea","OTB","Anarhichas minor"
"Greenland Sea","OTB","Anarhichas minor"
"Icelandic Waters","OTB","Anarhichas minor"
"Ionian Sea and the Central Mediterranean Sea","OTB","Anarhichas minor"
"Norwegian Sea","OTB","Anarhichas minor"
"Oceanic Northeast Atlantic","OTB","Anarhichas minor"
"Western Mediterranean Sea","OTB","Anarhichas minor"
NA,"OTB","Anarhichas minor"
"Barents Sea","OTT","Anarhichas minor"
"Bay of Biscay and the Iberian Coast","OTT","Anarhichas minor"
"Celtic Seas","OTT","Anarhichas minor"
"Faroes","OTT","Anarhichas minor"
"Greater North Sea","OTT","Anarhichas minor"
"Greenland Sea","OTT","Anarhichas minor"
"Norwegian Sea","OTT","Anarhichas minor"
"Oceanic Northeast Atlantic","OTT","Anarhichas minor"
"Western Mediterranean Sea","OTT","Anarhichas minor"
"Adriatic Sea","GNS","Anatidae"
"Aegean-Levantine Sea","GNS","Anatidae"
"Azores","GNS","Anatidae"
"Baltic Sea","GNS","Anatidae"
"Barents Sea","GNS","Anatidae"
"Bay of Biscay and the Iberian Coast","GNS","Anatidae"
"Black Sea","GNS","Anatidae"
"Celtic Seas","GNS","Anatidae"
"Greater North Sea","GNS","Anatidae"
"Icelandic Waters","GNS","Anatidae"
"Ionian Sea and the Central Mediterranean Sea","GNS","Anatidae"
"Norwegian Sea","GNS","Anatidae"
"Oceanic Northeast Atlantic","GNS","Anatidae"
"Western Mediterranean Sea","GNS","Anatidae"
"Adriatic Sea","GTR","Anatidae"
"Aegean-Levantine Sea","GTR","Anatidae"
"Baltic Sea","GTR","Anatidae"
"Bay of Biscay and the Iberian Coast","GTR","Anatidae"
"Celtic Seas","GTR","Anatidae"
"Greater North Sea","GTR","Anatidae"
"Ionian Sea and the Central Mediterranean Sea","GTR","Anatidae"
"Oceanic Northeast Atlantic","GTR","Anatidae"
"Western Mediterranean Sea","GTR","Anatidae"
"Adriatic Sea","FYK","Anguilla anguilla"
"Baltic Sea","FYK","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","FYK","Anguilla anguilla"
"Greater North Sea","FYK","Anguilla anguilla"
"Ionian Sea and the Central Mediterranean Sea","FYK","Anguilla anguilla"
"Western Mediterranean Sea","FYK","Anguilla anguilla"
"Adriatic Sea","GNS","Anguilla anguilla"
"Aegean-Levantine Sea","GNS","Anguilla anguilla"
"Azores","GNS","Anguilla anguilla"
"Baltic Sea","GNS","Anguilla anguilla"
"Barents Sea","GNS","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","GNS","Anguilla anguilla"
"Black Sea","GNS","Anguilla anguilla"
"Celtic Seas","GNS","Anguilla anguilla"
"Greater North Sea","GNS","Anguilla anguilla"
"Icelandic Waters","GNS","Anguilla anguilla"
"Ionian Sea and the Central Mediterranean Sea","GNS","Anguilla anguilla"
"Norwegian Sea","GNS","Anguilla anguilla"
"Oceanic Northeast Atlantic","GNS","Anguilla anguilla"
"Western Mediterranean Sea","GNS","Anguilla anguilla"
"Adriatic Sea","GTR","Anguilla anguilla"
"Aegean-Levantine Sea","GTR","Anguilla anguilla"
"Baltic Sea","GTR","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","GTR","Anguilla anguilla"
"Celtic Seas","GTR","Anguilla anguilla"
"Greater North Sea","GTR","Anguilla anguilla"
"Ionian Sea and the Central Mediterranean Sea","GTR","Anguilla anguilla"
"Oceanic Northeast Atlantic","GTR","Anguilla anguilla"
"Western Mediterranean Sea","GTR","Anguilla anguilla"
"Adriatic Sea","OTB","Anguilla anguilla"
"Aegean-Levantine Sea","OTB","Anguilla anguilla"
"Baltic Sea","OTB","Anguilla anguilla"
"Barents Sea","OTB","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","OTB","Anguilla anguilla"
"Celtic Seas","OTB","Anguilla anguilla"
"Faroes","OTB","Anguilla anguilla"
"Greater North Sea","OTB","Anguilla anguilla"
"Greenland Sea","OTB","Anguilla anguilla"
"Icelandic Waters","OTB","Anguilla anguilla"
"Ionian Sea and the Central Mediterranean Sea","OTB","Anguilla anguilla"
"Norwegian Sea","OTB","Anguilla anguilla"
"Oceanic Northeast Atlantic","OTB","Anguilla anguilla"
"Western Mediterranean Sea","OTB","Anguilla anguilla"
NA,"OTB","Anguilla anguilla"
"Adriatic Sea","OTM","Anguilla anguilla"
"Baltic Sea","OTM","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","OTM","Anguilla anguilla"
"Black Sea","OTM","Anguilla anguilla"
"Celtic Seas","OTM","Anguilla anguilla"
"Faroes","OTM","Anguilla anguilla"
"Greater North Sea","OTM","Anguilla anguilla"
"Icelandic Waters","OTM","Anguilla anguilla"
"Ionian Sea and the Central Mediterranean Sea","OTM","Anguilla anguilla"
"Norwegian Sea","OTM","Anguilla anguilla"
"Oceanic Northeast Atlantic","OTM","Anguilla anguilla"
"Western Mediterranean Sea","OTM","Anguilla anguilla"
"Barents Sea","OTT","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","OTT","Anguilla anguilla"
"Celtic Seas","OTT","Anguilla anguilla"
"Faroes","OTT","Anguilla anguilla"
"Greater North Sea","OTT","Anguilla anguilla"
"Greenland Sea","OTT","Anguilla anguilla"
"Norwegian Sea","OTT","Anguilla anguilla"
"Oceanic Northeast Atlantic","OTT","Anguilla anguilla"
"Western Mediterranean Sea","OTT","Anguilla anguilla"
"Adriatic Sea","TBB","Anguilla anguilla"
"Barents Sea","TBB","Anguilla anguilla"
"Bay of Biscay and the Iberian Coast","TBB","Anguilla anguilla"
"Black Sea","TBB","Anguilla anguilla"
"Celtic Seas","TBB","Anguilla anguilla"
"Greater North Sea","TBB","Anguilla anguilla"
"Norwegian Sea","TBB","Anguilla anguilla"
"Western Mediterranean Sea","TBB","Anguilla anguilla"
"Adriatic Sea","GNS","Aphanopus carbo"
"Aegean-Levantine Sea","GNS","Aphanopus carbo"
"Azores","GNS","Aphanopus carbo"
"Baltic Sea","GNS","Aphanopus carbo"
"Barents Sea","GNS","Aphanopus carbo"
"Bay of Biscay and the Iberian Coast","GNS","Aphanopus carbo"
"Black Sea","GNS","Aphanopus carbo"
"Celtic Seas","GNS","Aphanopus carbo"
"Greater North Sea","GNS","Aphanopus carbo"
"Icelandic Waters","GNS","Aphanopus carbo"
"Ionian Sea and the Central Mediterranean Sea","GNS","Aphanopus carbo"
"Norwegian Sea","GNS","Aphanopus carbo"
"Oceanic Northeast Atlantic","GNS","Aphanopus carbo"
"Western Mediterranean Sea","GNS","Aphanopus carbo"
"Adriatic Sea","OTM","Aphanopus carbo"
"Baltic Sea","OTM","Aphanopus carbo"
"Bay of Biscay and the Iberian Coast","OTM","Aphanopus carbo"
"Black Sea","OTM","Aphanopus carbo"
"Celtic Seas","OTM","Aphanopus carbo"
"Faroes","OTM","Aphanopus carbo"
"Greater North Sea","OTM","Aphanopus carbo"
"Icelandic Waters","OTM","Aphanopus carbo"
"Ionian Sea and the Central Mediterranean Sea","OTM","Aphanopus carbo"
"Norwegian Sea","OTM","Aphanopus carbo"
"Oceanic Northeast Atlantic","OTM","Aphanopus carbo"
"Western Mediterranean Sea","OTM","Aphanopus carbo"
"Adriatic Sea","OTB","Apristurus aphyodes"
"Aegean-Levantine Sea","OTB","Apristurus aphyodes"
"Baltic Sea","OTB","Apristurus aphyodes"
"Barents Sea","OTB","Apristurus aphyodes"
"Bay of Biscay and the Iberian Coast","OTB","Apristurus aphyodes"
"Celtic Seas","OTB","Apristurus aphyodes"
"Faroes","OTB","Apristurus aphyodes"
"Greater North Sea","OTB","Apristurus aphyodes"
"Greenland Sea","OTB","Apristurus aphyodes"
"Icelandic Waters","OTB","Apristurus aphyodes"
"Ionian Sea and the Central Mediterranean Sea","OTB","Apristurus aphyodes"
"Norwegian Sea","OTB","Apristurus aphyodes"
"Oceanic Northeast Atlantic","OTB","Apristurus aphyodes"
"Western Mediterranean Sea","OTB","Apristurus aphyodes"
NA,"OTB","Apristurus aphyodes"
"Adriatic Sea","OTB","Apristurus laurussonii"
"Aegean-Levantine Sea","OTB","Apristurus laurussonii"
"Baltic Sea","OTB","Apristurus laurussonii"
"Barents Sea","OTB","Apristurus laurussonii"
"Bay of Biscay and the Iberian Coast","OTB","Apristurus laurussonii"
"Celtic Seas","OTB","Apristurus laurussonii"
"Faroes","OTB","Apristurus laurussonii"
"Greater North Sea","OTB","Apristurus laurussonii"
"Greenland Sea","OTB","Apristurus laurussonii"
"Icelandic Waters","OTB","Apristurus laurussonii"
"Ionian Sea and the Central Mediterranean Sea","OTB","Apristurus laurussonii"
"Norwegian Sea","OTB","Apristurus laurussonii"
"Oceanic Northeast Atlantic","OTB","Apristurus laurussonii"
"Western Mediterranean Sea","OTB","Apristurus laurussonii"
NA,"OTB","Apristurus laurussonii"
"Adriatic Sea","OTB","Arctica islandica"
"Aegean-Levantine Sea","OTB","Arctica islandica"
"Baltic Sea","OTB","Arctica islandica"
"Barents Sea","OTB","Arctica islandica"
"Bay of Biscay and the Iberian Coast","OTB","Arctica islandica"
"Celtic Seas","OTB","Arctica islandica"
"Faroes","OTB","Arctica islandica"
"Greater North Sea","OTB","Arctica islandica"
"Greenland Sea","OTB","Arctica islandica"
"Icelandic Waters","OTB","Arctica islandica"
"Ionian Sea and the Central Mediterranean Sea","OTB","Arctica islandica"
"Norwegian Sea","OTB","Arctica islandica"
"Oceanic Northeast Atlantic","OTB","Arctica islandica"
"Western Mediterranean Sea","OTB","Arctica islandica"
NA,"OTB","Arctica islandica"
"Adriatic Sea","TBB","Arctica islandica"
"Barents Sea","TBB","Arctica islandica"
"Bay of Biscay and the Iberian Coast","TBB","Arctica islandica"
"Black Sea","TBB","Arctica islandica"
"Celtic Seas","TBB","Arctica islandica"
"Greater North Sea","TBB","Arctica islandica"
"Norwegian Sea","TBB","Arctica islandica"
"Western Mediterranean Sea","TBB","Arctica islandica"
"Adriatic Sea","OTB","Argentina silus"
"Aegean-Levantine Sea","OTB","Argentina silus"
"Baltic Sea","OTB","Argentina silus"
"Barents Sea","OTB","Argentina silus"
"Bay of Biscay and the Iberian Coast","OTB","Argentina silus"
"Celtic Seas","OTB","Argentina silus"
"Faroes","OTB","Argentina silus"
"Greater North Sea","OTB","Argentina silus"
"Greenland Sea","OTB","Argentina silus"
"Icelandic Waters","OTB","Argentina silus"
"Ionian Sea and the Central Mediterranean Sea","OTB","Argentina silus"
"Norwegian Sea","OTB","Argentina silus"
"Oceanic Northeast Atlantic","OTB","Argentina silus"
"Western Mediterranean Sea","OTB","Argentina silus"
NA,"OTB","Argentina silus"
"Adriatic Sea","OTB","Argentina sphyraena"
"Aegean-Levantine Sea","OTB","Argentina sphyraena"
"Baltic Sea","OTB","Argentina sphyraena"
"Barents Sea","OTB","Argentina sphyraena"
"Bay of Biscay and the Iberian Coast","OTB","Argentina sphyraena"
"Celtic Seas","OTB","Argentina sphyraena"
"Faroes","OTB","Argentina sphyraena"
"Greater North Sea","OTB","Argentina sphyraena"
"Greenland Sea","OTB","Argentina sphyraena"
"Icelandic Waters","OTB","Argentina sphyraena"
"Ionian Sea and the Central Mediterranean Sea","OTB","Argentina sphyraena"
"Norwegian Sea","OTB","Argentina sphyraena"
"Oceanic Northeast Atlantic","OTB","Argentina sphyraena"
"Western Mediterranean Sea","OTB","Argentina sphyraena"
NA,"OTB","Argentina sphyraena"
"Adriatic Sea","GNS","Argyrosomus regius"
"Aegean-Levantine Sea","GNS","Argyrosomus regius"
"Azores","GNS","Argyrosomus regius"
"Baltic Sea","GNS","Argyrosomus regius"
"Barents Sea","GNS","Argyrosomus regius"
"Bay of Biscay and the Iberian Coast","GNS","Argyrosomus regius"
"Black Sea","GNS","Argyrosomus regius"
"Celtic Seas","GNS","Argyrosomus regius"
"Greater North Sea","GNS","Argyrosomus regius"
"Icelandic Waters","GNS","Argyrosomus regius"
"Ionian Sea and the Central Mediterranean Sea","GNS","Argyrosomus regius"
"Norwegian Sea","GNS","Argyrosomus regius"
"Oceanic Northeast Atlantic","GNS","Argyrosomus regius"
"Western Mediterranean Sea","GNS","Argyrosomus regius"
"Adriatic Sea","GTR","Argyrosomus regius"
"Aegean-Levantine Sea","GTR","Argyrosomus regius"
"Baltic Sea","GTR","Argyrosomus regius"
"Bay of Biscay and the Iberian Coast","GTR","Argyrosomus regius"
"Celtic Seas","GTR","Argyrosomus regius"
"Greater North Sea","GTR","Argyrosomus regius"
"Ionian Sea and the Central Mediterranean Sea","GTR","Argyrosomus regius"
"Oceanic Northeast Atlantic","GTR","Argyrosomus regius"
"Western Mediterranean Sea","GTR","Argyrosomus regius"
"Adriatic Sea","OTB","Argyrosomus regius"
"Aegean-Levantine Sea","OTB","Argyrosomus regius"
"Baltic Sea","OTB","Argyrosomus regius"
"Barents Sea","OTB","Argyrosomus regius"
"Bay of Biscay and the Iberian Coast","OTB","Argyrosomus regius"
"Celtic Seas","OTB","Argyrosomus regius"
